"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6628","test_hidden_element[webkit]","WEBKIT","2026-09-05","passed","2026-09-05","TestDynamicLoading","test_dynamic_loading","",""
"","293","test_basic_auth_invalid[webkit]","WEBKIT","2026-09-05","passed","2026-09-05","TestBasicAuth","test_basic_auth","",""
"","216","test_get_single_post_invalid[252]","API","2026-09-05","passed","2026-09-05","TestGetPosts","test_posts","",""
"","902","test_login_invalid_password[firefox-empty-pass]","FIREFOX","2026-09-05","passed","2026-09-05","TestLogin","test_login","",""
"","292","test_login_valid","API","2026-09-05","passed","2026-09-05","TestLogin","test_auth","",""
"","519","test_confirm[chromium]","CHROMIUM","2026-09-05","passed","2026-09-05","TestJSAlerts","test_js_alerts","",""
"","216","test_create_post","API","2026-09-05","passed","2026-09-05","TestPostsCRUD","test_posts","",""
"","1869","test_alert[webkit]","WEBKIT","2026-09-05","passed","2026-09-05","TestJSAlerts","test_js_alerts","",""
"","678","test_get_single_post[1]","API","2026-09-05","passed","2026-09-05","TestGetPosts","test_posts","",""
"","712","test_upload_file_valid[firefox]","FIREFOX","2026-09-05","passed","2026-09-05","TestUpload","test_upload","",""
"","4240","test_full_login_logout_valid[webkit]","WEBKIT","2026-09-05","passed","2026-09-05","TestLogin","test_login","",""
"","1052","test_login_invalid_password[webkit-wrong-pass]","WEBKIT","2026-09-05","passed","2026-09-05","TestLogin","test_login","",""
"","195","test_get_single_post[150]","API","2026-09-05","passed","2026-09-05","TestGetPosts","test_posts","",""
"","669","test_login_invalid_username[chromium-wrong-user]","CHROMIUM","2026-09-05","passed","2026-09-05","TestLogin","test_login","",""
"","1204","test_confirm[webkit]","WEBKIT","2026-09-05","passed","2026-09-05","TestJSAlerts","test_js_alerts","",""
"","348","test_update_post_partial","API","2026-09-05","passed","2026-09-05","TestPostsCRUD","test_posts","",""
"","706","test_login_invalid_username[chromium-empty-user]","CHROMIUM","2026-09-05","passed","2026-09-05","TestLogin","test_login","",""
"","1140","test_upload_file_valid[webkit]","WEBKIT","2026-09-05","passed","2026-09-05","TestUpload","test_upload","",""
"","210","test_update_post_full","API","2026-09-05","passed","2026-09-05","TestPostsCRUD","test_posts","",""
"","199","test_user_me_endpoint_valid","API","2026-09-05","passed","2026-09-05","TestGetAuthUser","test_auth","",""
"","5873","test_hidden_element[chromium]","CHROMIUM","2026-09-05","passed","2026-09-05","TestDynamicLoading","test_dynamic_loading","",""
"","1060","test_basic_auth_valid[webkit-valid_credentials]","WEBKIT","2026-09-05","passed","2026-09-05","TestBasicAuth","test_basic_auth","",""
"","1945","test_alert[firefox]","FIREFOX","2026-09-05","passed","2026-09-05","TestJSAlerts","test_js_alerts","",""
"","713","test_login_invalid_password[chromium-empty-pass]","CHROMIUM","2026-09-05","passed","2026-09-05","TestLogin","test_login","",""
"","926","test_login_invalid_username[webkit-wrong-user-pass]","WEBKIT","2026-09-05","passed","2026-09-05","TestLogin","test_login","",""
"","1601","test_login_invalid_password[webkit-empty-pass]","WEBKIT","2026-09-05","passed","2026-09-05","TestLogin","test_login","",""
"","897","test_login_invalid_username[firefox-wrong-user]","FIREFOX","2026-09-05","passed","2026-09-05","TestLogin","test_login","",""
"","3227","test_login_invalid_username[webkit-empty-user]","WEBKIT","2026-09-05","passed","2026-09-05","TestLogin","test_login","",""
"","5867","test_element_added_after[webkit]","WEBKIT","2026-09-05","passed","2026-09-05","TestDynamicLoading","test_dynamic_loading","",""
"","976","test_full_login_logout_valid[chromium]","CHROMIUM","2026-09-05","passed","2026-09-05","TestLogin","test_login","",""
"","588","test_login_invalid_username[firefox-empty-user-pass]","FIREFOX","2026-09-05","passed","2026-09-05","TestLogin","test_login","",""
"","592","test_login_invalid_username[chromium-wrong-user-pass]","CHROMIUM","2026-09-05","passed","2026-09-05","TestLogin","test_login","",""
"","208","test_get_single_post_invalid[0]","API","2026-09-05","passed","2026-09-05","TestGetPosts","test_posts","",""
"","109","test_basic_auth_invalid[chromium]","CHROMIUM","2026-09-05","passed","2026-09-05","TestBasicAuth","test_basic_auth","",""
"","236","test_basic_auth_invalid[firefox]","FIREFOX","2026-09-05","passed","2026-09-05","TestBasicAuth","test_basic_auth","",""
"","640","test_login_invalid_username[webkit-empty-user-pass]","WEBKIT","2026-09-05","passed","2026-09-05","TestLogin","test_login","",""
"","199","test_get_single_post[251]","API","2026-09-05","passed","2026-09-05","TestGetPosts","test_posts","",""
"","188","test_response_time","API","2026-09-05","passed","2026-09-05","","test_performance","",""
"","5598","test_element_added_after[firefox]","FIREFOX","2026-09-05","passed","2026-09-05","TestDynamicLoading","test_dynamic_loading","",""
"","685","test_upload_file_valid[chromium]","CHROMIUM","2026-09-05","passed","2026-09-05","TestUpload","test_upload","",""
"","661","test_alert[chromium]","CHROMIUM","2026-09-05","passed","2026-09-05","TestJSAlerts","test_js_alerts","",""
"","721","test_upload_file_empty[firefox]","FIREFOX","2026-09-05","passed","2026-09-05","TestUpload","test_upload","",""
"","820","test_login_invalid_password[firefox-wrong-pass]","FIREFOX","2026-09-05","passed","2026-09-05","TestLogin","test_login","",""
"","270","test_auth_me_endpoint_invalid","API","2026-09-05","passed","2026-09-05","TestGetAuthUser","test_auth","",""
"","660","test_login_invalid_password[chromium-wrong-pass]","CHROMIUM","2026-09-05","passed","2026-09-05","TestLogin","test_login","",""
"","278","test_main[chromium]","CHROMIUM","2026-09-05","passed","2026-09-05","TestMainPage","test_main","",""
