"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Upload","4","0","Uploading files behavior","0"
"0","","0","Authentication","14","0","Login page behavior","0"
"0","","0","Authentication","4","0","Basic Auth page behavior","0"
"0","","0","Posts","6","0","API posts access","0"
"0","","0","Posts","5","0","API posts CRUD","0"
"0","","0","Alerts","6","0","JavaScript Alerts behavior","0"
"0","","0","Loading","4","0","Dynamic Loading behavior","0"
"0","","0","Posts","1","0","Response time assessment","0"
"0","","0","Authentication","3","0","API get current user info by token","0"
"0","","0","Authentication","2","0","API login","0"
"0","","0","Main","2","0","Main page behavior","0"
