"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"AssertionError -> 'failed' (red). Attaches the response JSON.","153","test_demo_failed","API","2026-08-23","failed","2026-08-23","TestApiDemoReport","test_api_demo_report","",""
"","70","test_response_time","API","2026-08-23","passed","2026-08-23","","test_performance","",""
"","0","test_demo_skipped[chromium]","tests.ui","2026-08-23","skipped","2026-08-23","TestUiDemoReport","test_ui_demo_report","",""
"","195","test_get_single_post[1]","API","2026-08-23","passed","2026-08-23","TestGetPosts","test_posts","",""
"AssertionError -> 'failed' (red). Attaches screenshot + trace.","872","test_demo_failed[chromium]","CHROMIUM","2026-08-23","failed","2026-08-23","TestUiDemoReport","test_ui_demo_report","",""
"","0","test_demo_skipped","tests.api","2026-08-23","skipped","2026-08-23","TestApiDemoReport","test_api_demo_report","",""
"","1237","test_full_login_logout_valid[chromium]","CHROMIUM","2026-08-23","passed","2026-08-23","TestLogin","test_login","",""
"","49","test_get_all_posts","API","2026-08-23","passed","2026-08-23","TestGetPosts","test_posts","",""
"","668","test_basic_auth_valid[chromium-valid_credentials]","CHROMIUM","2026-08-23","passed","2026-08-23","TestBasicAuth","test_basic_auth","",""
"","645","test_main[chromium]","CHROMIUM","2026-08-23","passed","2026-08-23","TestMainPage","test_main","",""
"","72","test_login_valid","API","2026-08-23","passed","2026-08-23","TestLogin","test_auth","",""
"","70","test_create_post","API","2026-08-23","passed","2026-08-23","TestPostsCRUD","test_posts","",""
"","98","test_update_post_full","API","2026-08-23","passed","2026-08-23","TestPostsCRUD","test_posts","",""
"","90","test_get_single_post[150]","API","2026-08-23","passed","2026-08-23","TestGetPosts","test_posts","",""
"","231","test_auth_me_endpoint_valid","API","2026-08-23","passed","2026-08-23","TestGetAuthUser","test_auth","",""
"","75","test_delete_post","API","2026-08-23","passed","2026-08-23","TestPostsCRUD","test_posts","",""
"","73","test_get_single_post[251]","API","2026-08-23","passed","2026-08-23","TestGetPosts","test_posts","",""
"TimeoutError -> 'broken' (yellow) -> UI-timeout category.","875","test_demo_broken[chromium]","CHROMIUM","2026-08-23","broken","2026-08-23","TestUiDemoReport","test_ui_demo_report","",""
"ValidationError -> 'broken' (yellow) -> schema-mismatch category.","185","test_demo_broken","API","2026-08-23","broken","2026-08-23","TestApiDemoReport","test_api_demo_report","",""
